Point2D [x = 0.5093658813190699, y = -2.948833289833534]
Point2D [x = 0.5097433567612165, y = -2.948871853978946]
Point2D [x = 0.5101059571502919, y = -2.948908874788629]
Point2D [x = 0.5104542660058369, y = -2.948944409028253]
Point2D [x = 0.5107888441920457, y = -2.9489785112096394]
Point2D [x = 0.5111102307809342, y = -2.9490112336594985]
Point2D [x = 0.5114189438840084, y = -2.949042626585736]
Point2D [x = 0.511715481453483, y = -2.949072738141319]
Point2D [x = 0.5120003220540682, y = -2.949101614485702]
Point2D [x = 0.5122739256063201, y = -2.949129299843821]
Point2D [x = 0.5125367341025231, y = -2.9491558365626465]
Point2D [x = 0.5127891722960453, y = -2.949181265165313]
Point2D [x = 0.5130316483650852, y = -2.9492056244028197]
Point2D [x = 0.5132645545516978, y = -2.949228951303313]
Point2D [x = 0.513488267776967, y = -2.949251281218957]
Point2D [x = 0.5137031502331626, y = -2.9492726478703886]
Point2D [x = 0.5139095499536984, y = -2.9492930833887736]
Point2D [x = 0.5141078013616805, y = -2.9493126183554517]
Point2D [x = 0.5142982257978127, y = -2.9493312818391813]
Point2D [x = 0.5144811320284012, y = -2.949349101430978]
Point2D [x = 0.5146568167341797, y = -2.9493661032765446]
Point2D [x = 0.5148255649806501, y = -2.9493823121062817]
Point2D [x = 0.5149876506706134, y = -2.9493977512628757]
Point2D [x = 0.515143336979545, y = -2.9494124427264454]
Point2D [x = 0.5152928767744457, y = -2.9494264071372323]
Point2D [x = 0.5154365130167782, y = -2.949439663815817]
Point2D [x = 0.5155744791500819, y = -2.949452230780831]
Point2D [x = 0.515706999472836, y = -2.9494641247641384]
Point2D [x = 0.5158342894971238, y = -2.9494753612234543]
Point2D [x = 0.5159565562936317, y = -2.949485954352355]
Point2D [x = 0.5160739988234981, y = -2.9494959170876407]
Point2D [x = 0.5161868082575124, y = -2.9495052611139974]
Point2D [x = 0.5162951682831423, y = -2.9495139968658997]
Point2D [x = 0.5163992553998572, y = -2.949522133526695]
Point2D [x = 0.5164992392031953, y = -2.949529679024794]
Point2D [x = 0.5165952826580071, y = -2.94953664002689]
Point2D [x = 0.516687542361297, y = -2.9495430219281285]
Point2D [x = 0.516776168795063, y = -2.949548828839123]
Point2D [x = 0.5168613065695298, y = -2.9495540635697233]
Point2D [x = 0.516943094657147, y = -2.9495587276094173]
Point2D [x = 0.5170216666177219, y = -2.949562821104254]
Point2D [x = 0.517097150815033, y = -2.9495663428301504]
Point2D [x = 0.5171696706252689, y = -2.94956929016244]
Point2D [x = 0.5172393446376155, y = -2.9495716590415153]
Point2D [x = 0.517306286847313, y = -2.9495734439343937]
Point2D [x = 0.517370606841485, y = -2.949574637792033]
Point2D [x = 0.5174324099780377, y = -2.949575232002204]
Point2D [x = 0.5174917975579147, y = -2.949575216337714]
Point2D [x = 0.5175488669909826, y = -2.9495745788997647]
Point2D [x = 0.5176037119558162, y = -2.949573306056208]
Point2D [x = 0.5176564225536424, y = -2.9495713823744443]
Point2D [x = 0.5177070854566911, y = -2.9495687905487]
Point2D [x = 0.5177557840511974, y = -2.9495655113213903]
Point2D [x = 0.5178025985752894, y = -2.949561523398264]
Point2D [x = 0.51784760625199, y = -2.9495568033569977]
Point2D [x = 0.5178908814175521, y = -2.949551325548894]
Point2D [x = 0.5179324956453439, y = -2.949545061993306]
Point2D [x = 0.5179725178654907, y = -2.949537982264393]
Point2D [x = 0.5180110144804773, y = -2.9495300533697772]
Point2D [x = 0.5180480494769069, y = -2.9495212396206614]
Point2D [x = 0.5180836845336101, y = -2.9495115024929124]
Point2D [x = 0.5181179791262898, y = -2.949500800478609]
Point2D [x = 0.5181509906288859, y = -2.9494890889275065]
Point2D [x = 0.5181827744118388, y = -2.9494763198778333]
Point2D [x = 0.5182133839374253, y = -2.9494624418758155]
Point2D [x = 0.5182428708523407, y = -2.9494473997832613]
Point2D [x = 0.5182712850776934, y = -2.949431134572517]
Point2D [x = 0.51829867489658, y = -2.9494135831080524]
Point2D [x = 0.5183250870394017, y = -2.9493946779138906]
Point2D [x = 0.5183505667670851, y = -2.949374346926044]
Point2D [x = 0.5183751579523659, y = -2.949352513229071]
Point2D [x = 0.5183989031592933, y = -2.9493290947758126]
Point2D [x = 0.5184218437211126, y = -2.949304004089304]
Point2D [x = 0.5184440198166806, y = -2.9492771479458035]
Point2D [x = 0.5184654705455718, y = -2.9492484270378054]
Point2D [x = 0.5184862340020273, y = -2.9492177356158438]
